user_id,discord_id,rsn,clan,total_submissions,total_gained,screenshot_categories,unique_items
681c52496b5e84841052023d,266525912114135041,yokso,ironclad,3,798.4,0,2
681c58726b5e848410520263,235570202455048203,zpereghost,ironfoundry,1,26.0,2,1
681c936d6b5e848410520383,232332958084759553,hard mach,ironclad,1,300.0,0,1
681c97096b5e84841052038f,176803643083849732,kerandel,ironclad,8,412.0,0,7
681ca91a6b5e8484105203dc,380903822731771915,rustoxic,ironclad,0,0.0,0,0
681caa4e6b5e8484105203e1,284864364308070401,varrock h4rd,ironfoundry,12,1502.87,4,12
681cb5d46b5e84841052040f,229289099608064000,kretsky,ironclad,15,1299.68,3,13
681ccc2f967c46014c32f802,1125572902536871966,mrsmile4me,ironclad,39,3899.82,4,32
681ccc7b967c46014c32f804,1009634867614593125,ulyzarus,ironclad,1,108.0,0,1
681cd1b8967c46014c32f821,202114252444532736,gimp tissue,ironfoundry,3,106.0,0,2
681cd694967c46014c32f888,771462377098444810,felchie,ironfoundry,9,2139.6,0,8
681cefd9967c46014c32f911,265877324224921600,tobaks,ironfoundry,29,2901.01,1,28
681d05c6967c46014c32f97d,381692269016645634,mostsanegoop,ironclad,0,0.0,0,0
681d1dc8967c46014c32f9bf,200709175486054401,cinnamonloaf,ironclad,12,1515.0,2,10
681d24c8967c46014c32f9d3,260534178385362959,igdaa,ironclad,3,12.0,0,3
681d2528967c46014c32f9d9,612785572481597440,kwuarmadyl,ironfoundry,23,3074.26,4,17
681d2dec967c46014c32f9f3,1038517204934733844,1jz vl,ironclad,4,371.46,0,4
681d306c967c46014c32f9fb,138895576329748480,vaporeonhead,ironclad,0,0.0,0,0
681d31a0967c46014c32fa00,214473981913333761,hankdacowdog,ironclad,7,1524.8,0,7
681d34e9967c46014c32fa0b,767792767396872212,k fe,ironfoundry,0,0.0,0,0
681d506e967c46014c32fa72,140828842779607040,fish tofu,ironfoundry,31,1279.37,1,26
681d50dc967c46014c32fa74,351931900606152726,abigfatkitty,ironclad,9,951.64,3,9
681d511f967c46014c32fa75,1182232264252342313,wtym,ironclad,23,3371.0,6,22
681d51eb967c46014c32fa78,347496142549942274,elven feet,ironclad,0,0.0,0,0
681d5254967c46014c32fa79,421391624401190913,goutfather,ironfoundry,10,1127.31,1,9
681d5315967c46014c32fa7d,219589230886649866,tpf honey,ironclad,0,0.0,1,0
681d55c8967c46014c32fa82,250017096967258114,nieverlucky,ironclad,12,1148.77,0,11
681d584d967c46014c32fa87,478725235806306306,gim vance,ironclad,2,510.5,0,2
681d5dc8967c46014c32fa92,228507776362479616,lerby,ironfoundry,12,1231.0,1,10
681d658a967c46014c32faa2,358254351816589322,ajcaw,ironfoundry,18,2132.03,2,17
681d762f967c46014c32fabc,161295570466635776,crabalon,ironclad,5,624.0,1,5
681d81c6967c46014c32fac8,362138374745882625,kingsbluue,ironclad,8,740.96,1,8
681d90e1967c46014c32fad8,359043043485024269,inkul,ironclad,18,2230.94,2,17
681da5b9967c46014c32fafe,225219818326982656,not so hc,ironfoundry,0,0.0,0,0
681daa70967c46014c32fb05,294832291971072000,ble4chy,ironfoundry,14,567.2,4,14
681ddfd7967c46014c32fbfb,210484393469280256,sliqknot,ironclad,2,448.0,0,2
681de06c967c46014c32fbfd,406502736528408608,martyrs,ironfoundry,34,3074.06,1,29
681de151967c46014c32fc00,315783714636562432,fk dazz,ironclad,4,672.74,0,4
681df8e6967c46014c32fc62,186253417373499392,ferrambe,ironclad,0,0.0,0,0
681dffc2967c46014c32fc7d,505793920928710657,gekkiim1,ironclad,0,0.0,0,0
681e12bf967c46014c32fcbe,207908294688243712,carlbonara,ironclad,23,2789.25,3,21
681e4ff5967c46014c32fd94,141306386205245440,dae dae 3000,ironclad,0,0.0,0,0
681e5004967c46014c32fd95,263214658100527106,levante frog,ironclad,7,691.0,1,5
